date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:57	37338/37338	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202019%2009:16:54%20GMT	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html	C:/xampp/htdocs/abbb/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html	(from )
14:46:59	1002/1002	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202019%2009:16:56%20GMT	https://demo.w3layouts.com/robots.txt		(from )
14:47:00	178152/178152	---M-Z	200	added ('OK')	text/css	etag:%221558943530%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/bootstrap.css	C:/xampp/htdocs/abbb/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html)
14:47:01	32143/32143	---M-Z	200	added ('OK')	text/css	etag:%221558943530%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/style.css	C:/xampp/htdocs/abbb/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html)
14:47:01	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221558943530%22	https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/font-awesome.min.css	C:/xampp/htdocs/abbb/demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html)
14:47:03	56727/56727	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1e37f26673275e6067c026e595b148f%22	http://m.servedby-buysellads.com/monetization.js	C:/xampp/htdocs/abbb/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html)
14:47:04	2232/2232	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2007%20Dec%202019%2009:17:01%20GMT	https://codefund.io/properties/441/funder.js	C:/xampp/htdocs/abbb/codefund.io/properties/441/funder.js	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html)
14:47:05	3159/3159	---M-Z	200	added ('OK')	text/css	etag:%221575469126%22	https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/xampp/htdocs/abbb/demo.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html)
14:47:05	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/xampp/htdocs/abbb/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html)
14:47:06	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/xampp/htdocs/abbb/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/27-05-2019/land-demo_Free/568639772/web/index.html)
